tag,名称,时代,详细年代,类别,进阶类别,尺寸,材质,外观形式,工艺,主题,位置,标签,产地,来源,原名,风格流派,款识印记,题跋,文字释文,作者
photo_057,漳州窑蓝地白花花卉纹盘,明,明后期,瓷器,日用品,高 9.7厘米 ，口径 38.0厘米 ，底径 16.8厘米,瓷,盘,彩绘,花卉,陶瓷与中外交流专题馆,瓷 明后期 日用品 盘 漳州窑 彩绘 花卉,漳州窑,,明漳州窑蓝地白花盘,,,,,
photo_058,德化窑白釉贴松鹿纹杯,明,明末清初,瓷器,日用品,高 8.3厘米 ，口横 11.0厘米 ，口纵 10.5厘米,瓷,杯,白釉、贴花,松、鹿、云纹、龙,陶瓷与中外交流专题馆,瓷 明末清初 日用品 杯 德化窑 白釉 贴花 松 鹿 云纹 龙,德化窑,,德化窑堆花杯,,,,,
photo_059,酱釉青花如意花卉纹葫芦瓶,清,康熙,瓷器,日用品,高 26.0厘米 ，口径 3.9厘米 ，足径 6.7厘米,瓷,瓶,酱色釉、青花,花朵纹、如意纹、叶纹、花卉、蝴蝶,陶瓷与中外交流专题馆,瓷 康熙 日用品 瓶 景德镇窑 酱色釉 青花 花朵纹 如意纹 叶纹 花卉 蝴蝶,景德镇窑,倪汉克捐赠,景德镇窑酱色釉青花如意花卉纹葫芦瓶,,,,,
photo_060,青花约翰内斯?坎普赫斯纹章盘,清,康熙,瓷器,日用品,高 2.1厘米 ，口径 25.7厘米 ，足径 14.6厘米,瓷,盘,青花,符号、仕女、活动、庭院、树、花卉、山石、家具、器具,陶瓷与中外交流专题馆,瓷 康熙 日用品 盘 景德镇窑 青花 符号 仕女 活动 庭院 树 花卉 山石 家具 器具,景德镇窑,,景德镇窑青花纹章纹盘,,,,,
photo_061,青花帕尔默家族纹章盘,清,雍正,瓷器,日用品,高 2.5厘米 ，口径 22.8厘米 ，足径 13.0厘米,瓷,盘,青花,符号、花卉、锦纹、如意纹、竹、松、柳,陶瓷与中外交流专题馆,瓷 雍正 日用品 盘 景德镇窑 青花 符号 花卉 锦纹 如意纹 竹 松 柳,景德镇窑,倪汉克捐赠,景德镇窑青花纹章纹盘,,,,,
photo_062,青花龙凤纹执壶,清,乾隆,瓷器,日用品,连盖高12.6厘米,瓷,执壶,青花,龙、凤、缠枝花、草叶,中国古代陶瓷馆,瓷 乾隆 日用品 执壶 景德镇窑 青花 龙 凤 缠枝花 草叶,景德镇窑,,景德镇窑青花龙凤纹执壶,,,,,
photo_063,景德镇窑青花缠枝花卉纹开光题句执壶,清,嘉庆二年,瓷器,日用品,连盖高16.3厘米,瓷,执壶,青花,缠枝花、如意云纹、莲瓣纹、诗文,,瓷 嘉庆二年 日用品 执壶 景德镇窑 青花 缠枝花 如意云纹 莲瓣纹 诗文,景德镇窑,,,,嘉、庆、大清嘉庆年制,嘉庆丁巳小春月之中扔制,佳茗头纲贡，浇诗必月团。 竹炉添活火，石铫沸惊湍。 鱼蟹眼徐扬，旗枪影细攒。 一瓯清兴足，春盎避清寒。,
photo_064,龙泉窑青釉贴双鱼纹洗,宋,南宋-元,瓷器,日用器,高 4.1厘米 ，口径 13.4厘米 ，底径6.0厘米,瓷,系,青釉、贴花,鱼,陶瓷与中外交流专题馆,瓷 南宋-元 日用器 系 龙泉窑 青釉 贴花 鱼,龙泉窑,,龙泉窑青釉印花双鱼洗,,,,,
photo_065,龙泉窑青釉刻莲瓣纹盘,宋,南宋-元,瓷器,日用品,高 4.0厘米 ，口径 16.3厘米 ，底径 5.7厘米,瓷,盘,青釉、刻划,莲瓣纹,陶瓷与中外交流专题馆,瓷 南宋-元 日用品 盘 龙泉窑 青釉 刻划 莲瓣纹,龙泉窑,顾丽江捐赠,龙泉窑青釉莲瓣盘,,,,,
photo_066,龙泉窑青釉划花卉纹盘,元,,瓷器,日用品,高 3.8厘米 ，口径 16.3厘米 ，底径 6.9厘米,瓷,盘,青釉、刻划,花卉,陶瓷与中外交流专题馆,瓷 日用品 盘 龙泉窑 青釉 刻划 花卉,龙泉窑,,龙泉窑青釉划花盘,,,,,
photo_067,龙泉窑青釉印花卉纹双系罐,元,,瓷器,日用品,高9.8厘米，口径4.2厘米，底径5.8厘米,瓷,壶,青釉、印花,花卉、草叶,陶瓷与中外交流专题馆,瓷 日用品 壶 龙泉窑 青釉 印花 花卉 草叶,龙泉窑,沈觐安捐赠,龙泉窑青釉印花双系小壶,,,,,
photo_068,龙泉窑青釉露胎贴云凤鹤纹盘,元,,瓷器,日用品,高 3.2厘米 ，口径 16.7厘米 ，底径 3.8厘米,瓷,盘,青釉、贴花,凤、云纹,陶瓷与中外交流专题馆,瓷 日用品 盘 龙泉窑 青釉 贴花 凤 云纹,龙泉窑,,龙泉窑青釉贴花云凤纹盘,,,,,
photo_069,青白釉贴花梅华纹双耳瓶,元,,瓷器,陈设/观赏品,高 18.8厘米 ，口径 4.0厘米 ，足径 6.2厘米,瓷,瓶,青白釉、贴花,梅花,陶瓷与中外交流专题馆,瓷 陈设/观赏品 瓶 景德镇窑 青白釉 贴花 梅花,景德镇窑,,景德镇窑青白釉贴花双耳瓶,,,,,
photo_070,青花瓜果竹石蕉叶纹盘,元,,瓷器,日用品,高 7厘米 ，口径 45厘米 ，足径 25厘米,瓷,盘,青花,花卉、葡萄、竹、瓜,陶瓷与中外交流专题馆,瓷 日用品 盘 景德镇窑 青花 花卉 葡萄 竹 瓜,景德镇窑,,景德镇窑青花瓜竹葡萄纹菱口盘,,,,,
photo_071,青花缠枝花卉纹双系罐,元,,瓷器,日用品,高 5.0厘米 ，口径 3.3厘米 ，底径 3.5厘米,瓷,罐,青花,花卉,陶瓷与中外交流专题馆,瓷 日用品 罐 景德镇窑 青花 花卉,景德镇窑,,景德镇窑青花串枝花卉纹双系罐,,,,,
photo_072,青花缠枝花卉纹葫芦执壶,元,,瓷器,日用品,高 10.5厘米 ，口径 2.4厘米 ，底径 4.8厘米,瓷,执壶,青花,花卉,陶瓷与中外交流专题馆,瓷 日用品 执壶 景德镇窑 青花 花卉,景德镇窑,,景德镇窑青花串枝花卉纹执壶,,,,,
photo_073,赣州窑柳条乳钉纹罐,元,,瓷器,日用品,高 6.6厘米 ，口径 7.7厘米,瓷,罐,轮制、镶嵌,乳钉纹、弦纹,陶瓷与中外交流专题馆,瓷 日用品 罐 七里镇窑 轮制 镶嵌 乳钉纹 弦纹,七里镇窑,,赣州七里镇窑柳条纹罐,,,,,
photo_074,龙泉窑青釉八卦纹三足炉,元,,瓷器,日用品,高 10.6厘米 ，口径 16.8厘米,瓷,香炉,青釉,八卦,陶瓷与中外交流专题馆,瓷 日用品 香炉 龙泉窑 青釉 八卦,龙泉窑,仇大健捐赠,龙泉窑青釉三足炉,,,,,
photo_075,青釉划花卉纹碗,宋,12世纪,瓷器,日用品,高 6.9厘米 ，口径 19厘米 ，底径 6厘米,瓷,碗,青釉、刻划,花卉,陶瓷与中外交流专题馆,瓷 12世纪 日用品 碗 高丽青瓷 青釉 刻划 花卉,高丽青瓷,,高丽青釉暗花碗,,,,,
photo_076,景德镇窑蓝地白花鱼藻纹盖碗,清,雍正,瓷器,日用品,通高14.6厘米,瓷,碗,釉下彩,鱼、水草、莲花,,瓷 雍正 日用品 碗 景德镇窑 釉下彩 鱼 水草 莲花,景德镇窑,,,,大清雍正年制,,,
photo_077,龙泉窑青釉刻花卉纹盖罐,明,明前期,瓷器,日用品,高 27厘米 ，底径 19厘米,瓷,罐,青釉、刻划,花卉、草叶,陶瓷与中外交流专题馆,瓷 明前期 日用品 罐 龙泉窑 青釉 刻划 花卉 草叶,龙泉窑,,龙泉窑青釉刻花盖罐,,,,,
photo_078,龙泉窑青釉刻花芦雁纹盘,明,明初,瓷器,日用器,高 8.2厘米 ，口径 40.9厘米 ，足径 23.7厘米,瓷,盘,青釉、刻花,花朵纹、芦苇、雁、缠枝花,,瓷 明初 日用器 盘 龙泉窑 青釉 刻花 花朵纹 芦苇 雁 缠枝花,龙泉窑,,龙泉窑刻花芦雁纹盘,,,,,
photo_079,青花缠枝花卉纹壶,明,永乐、宣德,瓷器,日用品,高 13.5厘米 ，口径 7.5厘米 ，底径 4.2厘米,瓷,执壶,青花,缠枝纹、莲瓣纹,陶瓷与中外交流专题馆,瓷 永乐 宣德 日用品 执壶 景德镇窑 青花 缠枝纹 莲瓣纹,景德镇窑,,景德镇窑青花缠枝莲纹花浇,,,,,
photo_080,长沙窑褐蓝彩如意花卉纹罐,唐,,瓷器,日用品,高27.7厘米，口径15.7厘米，底径19.6厘米,瓷,罐,青釉、彩绘,花卉,陶瓷与中外交流专题馆,瓷 日用品 罐 长沙窑 青釉 彩绘 花卉,长沙窑,李雪莱、林嗣淇捐赠,,,,,,
photo_081,镶嵌柳树纹青釉梅瓶,其他,12世纪、13世纪,瓷器,日用品,高 30厘米 ，口径 5.4厘米 ，底径 11.7厘米,瓷,梅瓶,青釉、镶嵌,柳、开光,陶瓷与中外交流专题馆,瓷 12世纪 13世纪 日用品 梅瓶 高丽青瓷 青釉 镶嵌 柳 开光,高丽青瓷,,高丽青瓷镶嵌花瓶,,,,,
photo_082,松石绿釉剔刻缠枝番莲纹瓶,清,乾隆,瓷器,陈设/观赏品、日用品,高21.9厘米，口径6.7厘米，足径8.9厘米,瓷,瓶,松石绿,几何纹、西番莲,中国古代陶瓷馆,瓷 乾隆 陈设/观赏品 日用品 瓶 景德镇窑 松石绿 几何纹 西番莲,景德镇窑,,景德镇窑松石绿釉剔刻缠枝番莲纹瓶,,大清乾隆年制,,,
photo_083,青花釉里红三果纹高足碗,清,雍正,瓷器,日用品,高11.6厘米，口径16.6厘米，底径4.7厘米,瓷,高足碗,青花釉里红,石榴、桃子、,中国古代陶瓷馆,瓷 雍正 日用品 高足碗 景德镇窑 青花釉里红 石榴 桃子,景德镇窑,陈萍1956年捐赠,景德镇窑青花釉里红三果纹高足碗,,大清雍正年制,,,
photo_084,景德镇窑青花双狮球纹罐,明,宣德,瓷器,日用品,高18.0厘米，口径15.0厘米，底径13.2厘米,瓷,罐,青花,狮、球、如意纹、折枝花、莲瓣,,瓷 宣德 日用品 罐 景德镇窑 青花 狮 球 如意纹 折枝花 莲瓣,景德镇窑,姚念瑗1979年捐赠,景德镇窑青花狮球纹罐,,大明宣德年制,,,
photo_085,青釉刻花莲瓣纹托盏,南北朝,,瓷器,日用品,通高5.2厘米，盏口径10.4厘米，托口径13.6厘米,瓷,盏、盏托,刻划、青釉,莲花,,瓷 日用品 盏 盏托 刻划 青釉 莲花,,龚理曾、龚理荃、龚理华、龚理宸、龚理菁1964年捐赠,,,,,,
photo_086,禽鸟蟠螭纹陶豆,新石器时代,良渚文化,陶器,日用品,高 18.8厘米 ，口径 17.7厘米,陶,豆,刻划,鸟、蟠螭纹、弦纹,考古上海,陶 良渚文化 日用品 豆 青浦 刻划 鸟 蟠螭纹 弦纹,青浦,1986 年青浦区福泉山遗址出土,良渚文化划花弦纹高足黑陶豆,,,,,
photo_087,方格纹圈足陶h,新石器时代,广富林文化,陶器,日用品,高 14.5厘米,陶,h,刻划、印花,几何纹,考古上海,陶 广富林文化 日用品 h 松江 刻划 印花 几何纹,松江,2012 年松江区广富林遗址出土,,,,,,
photo_088,蟠螭纹镂孔足带盖陶鼎,新石器时代,良渚文化,陶器,日用品、饪食器,高 26厘米 ，口径 26厘米,陶,鼎,镂雕,弦纹、蟠螭纹,考古上海,陶 良渚文化 日用品 饪食器 鼎 青浦 镂雕 弦纹 蟠螭纹,青浦,1984 年青浦区福泉山遗址出土,良渚文化黑陶细刻纹盖鼎,,,,,
photo_089,带盖细刻纹双阔把陶F,新石器时代,良渚文化,陶器,日用品、水器,通高 21.1厘米,陶,F,刻划,几何纹、动物纹,考古上海,陶 良渚文化 日用品 水器 F 青浦 刻划 几何纹 动物纹,青浦,2010 年青浦区福泉山遗址出土,,,,,,
photo_090,越窑青釉刻花莲瓣纹罐,五代十国,五代-北宋,瓷器,日用品,高 9.6厘米,瓷,罐,青釉、刻划,莲瓣纹,考古上海,瓷 五代-北宋 日用品 罐 越窑 青釉 刻划 莲瓣纹,越窑,1975 年松江区松江二中出土,,,,,,
photo_091,长沙窑模印贴舞乐纹执壶,唐,,瓷器,日用品,高 18厘米 ，口径 6.3厘米 ，底径 13.2厘米,瓷,执壶,釉下彩、青釉、贴花,胡人、乐舞,陶瓷与中外交流专题馆,瓷 日用品 执壶 长沙窑 釉下彩 青釉 贴花 胡人 乐舞,长沙窑,李雪莱、林嗣淇捐赠,,,,,,
photo_092,长沙窑绿釉模印花卉纹海棠式盘,唐,,瓷器,日用品,高 2.7厘米 ，口 15.5 × 12.5厘米 ，足 7.5 × 5.7厘米,瓷,盏托,青釉、酱色釉、印花,花卉、文字,陶瓷与中外交流专题馆,瓷 日用品 盏托 长沙窑 青釉 酱色釉 印花 花卉 文字,长沙窑,李雪莱、林嗣淇捐赠,,,,,王,
photo_093,彩色釉陶模印骑射人物纹凤首壶,唐,,陶器,日用品,高 31.5厘米 ，口纵 5.35厘米 ，口横 4.0厘米 ，底纵 9.8厘米 ，底横 8.2厘米,陶,壶,彩色釉、贴花,彩色釉、凤、缠枝纹,陶瓷与中外交流专题馆,陶 日用品 壶 彩色釉 贴花 凤 缠枝纹,,,彩色釉陶凤头陶壶,,,,,
photo_094,长沙窑褐绿彩绶带孔雀纹碗,唐,,瓷器,日用品,高 8.2厘米 ，口径 25.7厘米 ，足径 8.2厘米,瓷,碗,釉下彩,孔雀,陶瓷与中外交流专题馆,瓷 日用品 碗 长沙窑 釉下彩 孔雀,长沙窑,李雪莱、林嗣淇捐赠,,,,,,
photo_095,长沙窑青釉褐绿彩帆船纹执壶,唐,,瓷器,日用品,高 23.8厘米 ，口径 10.6厘米 ，底径 12.8厘米,瓷,执壶,釉下彩,船,陶瓷与中外交流专题馆,瓷 日用品 执壶 长沙窑 釉下彩 船,长沙窑,李雪莱、林嗣淇捐赠,,,,,,
photo_096,长沙窑模印贴椰枣狮子纹执壶,唐,,瓷器,日用品,高 27.5厘米 ，口径 14.6厘米 ，底径 14.7厘米,瓷,执壶,釉下彩、贴花,植物、狮子、文字,陶瓷与中外交流专题馆,瓷 日用品 执壶 长沙窑 釉下彩 贴花 植物 狮子 文字,长沙窑,李雪莱、林嗣淇捐赠,,,,,李,
photo_097,长沙窑褐绿彩花草纹执壶,唐,,瓷器,日用品,高 20.0厘米 ，口径 5.0厘米 ，足径 7.7厘米,瓷,执壶,釉下彩,花卉,陶瓷与中外交流专题馆,瓷 日用品 执壶 釉下彩 花卉,,李雪莱、林嗣淇捐赠,,,,,,
photo_098,越窑青釉刻花卉纹执壶,五代十国,五代,瓷器,日用品,高 24.9厘米 ，口径 11.25厘米 ，足径 8.3厘米,瓷,执壶,青釉、刻划,花卉、几何纹,陶瓷与中外交流专题馆,瓷 五代 日用品 执壶 越窑 青釉 刻划 花卉 几何纹,越窑,,越窑青釉刻花花卉纹执壶,,,,,
photo_099,越窑青釉刻莲瓣纹罐,宋,五代-北宋,瓷器,日用品,高 7.1厘米 ，口径 5.3厘米 ，底径 6.6厘米,瓷,罐,青釉,莲瓣纹,陶瓷与中外交流专题馆,瓷 五代-北宋 日用品 罐 越窑 青釉 莲瓣纹,越窑,,越窑青釉刻花莲花纹罐,,,,,
photo_100,青白釉刻花卉纹碗,宋,南宋,瓷器,日用品,高 6.8厘米 ，口径 20.4厘米 ，底径 5.55厘米,瓷,碗,青白釉、刻划,花卉,陶瓷与中外交流专题馆,瓷 南宋 日用品 碗 景德镇窑 青白釉 刻划 花卉,景德镇窑,,景德镇窑青白釉刻花花卉纹碗,,,,,
photo_101,青白釉印牡丹飞凤纹碗,宋,南宋,瓷器,日用品,高 6.0厘米 ，口径 18.3厘米 ，底径 6.4厘米,瓷,碗,青白釉、印花,凤、牡丹、把莲纹,陶瓷与中外交流专题馆,瓷 南宋 日用品 碗 景德镇窑 青白釉 印花 凤 牡丹 把莲纹,景德镇窑,姚念瑷捐赠,景德镇窑青白釉印花花鸟纹碗,,,,,
photo_102,景德镇窑青花寿山福海纹螭耳扁瓶,清,乾隆,瓷器,陈设/观赏品、日用品,高49.4厘米，口径8厘米，腹纵19.1厘米，腹横38厘米，底纵12厘米，底横17.8厘米,瓷,扁瓶,青花,福山寿海、蝙蝠、石、桃子、波涛、花卉、缠枝纹、螭,,瓷 乾隆 陈设/观赏品 日用品 扁瓶 景德镇窑 青花 福山寿海 蝙蝠 石 桃子 波涛 花卉 缠枝纹 螭,景德镇窑,,,,大清乾隆年制,,,
photo_103,景德镇窑豆青地红彩团凤纹碗,清,道光,瓷器,日用品,高6.7厘米，口径14.2厘米，底径6.4厘米,瓷,碗,釉上彩,凤、团花,,瓷 道光 日用品 碗 景德镇窑 釉上彩 凤 团花,景德镇窑,,,,大清道光年制,,,
photo_104,景德镇窑绿地粉彩八吉祥纹瓶,清,乾隆,瓷器,陈设/观赏品、日用品,高25.9厘米，口径2.8厘米，底径10.1厘米，腹围49.7厘米,瓷,瓶,粉彩,八吉祥,,瓷 乾隆 陈设/观赏品 日用品 瓶 景德镇窑 粉彩 八吉祥,景德镇窑,,,,大清乾隆年制,,,
photo_105,蓝地白花莲池游鱼纹盘,明,宣德,瓷器,日用品,高4.6厘米，口径21厘米，底径13.5厘米,瓷,盘,青花,莲花、水草、鱼、荷叶,中国古代陶瓷馆,瓷 宣德 日用品 盘 景德镇窑 青花 莲花 水草 鱼 荷叶,景德镇窑,,景德镇窑青花蓝地白花莲池游鱼纹盘,,大明宣德年制,,,
photo_106,景德镇窑五彩花果纹盘,明,万历,瓷器,日用品,高3.4厘米，口径18.9厘米，足径12.85厘米,瓷,盘,五彩,器具、花卉、昆虫、石榴、荔枝、佛手、三多,,瓷 万历 日用品 盘 景德镇窑 五彩 器具 花卉 昆虫 石榴 荔枝 佛手 三多,景德镇窑,,,,大明万历年制,,,
photo_107,景德镇窑五彩花篮纹盘,清,康熙,瓷器,日用品,高6厘米，口径35.8厘米，底径19.2厘米,瓷,盘,五彩,器具、花卉、山水、昆虫、禽鸟、兽畜、锦纹,,瓷 康熙 日用品 盘 景德镇窑 五彩 器具 花卉 山水 昆虫 禽鸟 兽畜 锦纹,景德镇窑,,,,,,,
photo_108,景德镇窑素三彩三果纹盘,清,康熙,瓷器,日用品,高4.5厘米，口径24.8厘米，底径16.4厘米,瓷,盘,素三彩,石榴、荔枝、佛手,,瓷 康熙 日用品 盘 景德镇窑 素三彩 石榴 荔枝 佛手,景德镇窑,,,,大清康熙年制,,,
photo_109,景德镇窑粉彩花卉纹双连瓶,清,乾隆,瓷器,陈设/观赏品、日用品,高14.2厘米，口横7厘米，口纵4.4厘米，腹横10.9厘米，腹纵7.6厘米，底横7.7厘米，底纵5.2厘米,瓷,双联瓶,粉彩,花卉、缠枝纹,,瓷 乾隆 陈设/观赏品 日用品 双联瓶 景德镇窑 粉彩 花卉 缠枝纹,景德镇窑,,,,大清乾隆年制,,,
photo_110,景德镇窑仿汝釉弦纹花盆,清,雍正,瓷器,日用品,各高7.9厘米，口径12.9厘米，底径7.2厘米,瓷,盆,青釉,弦纹,,瓷 雍正 日用品 盆 景德镇窑 青釉 弦纹,景德镇窑,胡惠春、王华云1950年捐赠,,,雍正年制,,,
photo_111,景德镇窑青花花鸟纹罐,明,万历,瓷器,日用品,高7.0厘米，口径8.2厘米，底径11.0厘米，腹围34.2厘米,瓷,罐,青花,花鸟、山水、几何纹,,瓷 万历 日用品 罐 景德镇窑 青花 花鸟 山水 几何纹,景德镇窑,吴仲超1952年捐赠,景德镇窑青花花鸟纹罐,,,,,
photo_112,景德镇窑青花凤穿牡丹纹瓶,清,康熙,瓷器,日用品,高44.8厘米，口径12.4厘米，底径13.9厘米,瓷,瓶,青花,凤穿牡丹、玉兰、石,,瓷 康熙 日用品 瓶 景德镇窑 青花 凤穿牡丹 玉兰 石,景德镇窑,乐笃周1956年捐赠,景德镇窑青花凤穿牡丹纹瓶,,,,,
photo_113,景德镇窑青花缠枝花卉纹碗,明,永乐,瓷器,日用品,高10.4厘米，口径21.1厘米，底径7.8厘米,瓷,碗,青花,牡丹、菊花、莲花、桂子、回纹、波涛纹,,瓷 永乐 日用品 碗 景德镇窑 青花 牡丹 菊花 莲花 桂子 回纹 波涛纹,景德镇窑,陈萍1956年捐赠,,,,,,
photo_114,景德镇窑青花花果纹大罐,明,永乐,瓷器,日用品,高25.6厘米，口径18.4厘米，底径20.9厘米，腹围102.3厘米,瓷,罐,青花,花卉、石榴、桂子、如意纹、缠枝纹,,瓷 永乐 日用品 罐 景德镇窑 青花 花卉 石榴 桂子 如意纹 缠枝纹,景德镇窑,陈萍1956年捐赠,,,,,,
photo_115,景德镇窑青花缠枝莲纹瓶,明,永乐,瓷器,日用品,高24.8厘米，口径4.5厘米，腹径15.4厘米，底径10.5厘米,瓷,瓶,青花,莲花、缠枝纹,,瓷 永乐 日用品 瓶 景德镇窑 青花 莲花 缠枝纹,景德镇窑,薛贵笙1979年捐赠,,,,,,
photo_116,景德镇窑甜白釉暗刻花海棠双莺纹瓶,明,永乐,瓷器,日用品,高26.1厘米，口径3.8厘米，腹径15.9厘米，底径10.5厘米,瓷,瓶,甜白釉、刻划,几何纹、缠枝纹、海棠、莺,,瓷 永乐 日用品 瓶 景德镇窑 甜白釉 刻划 几何纹 缠枝纹 海棠 莺,景德镇窑,薛贵笙1979年捐赠,景德镇窑甜白釉暗刻花海棠双莺纹瓶,,,,,
